0={start:0, end=1, key=4, type=PLAYER(0)}
62={start:16, end=23, key=14, type=PLAYER(0)}
63={start:24, end=31, key=14, type=PLAYER(0)}
64={start:0, end=5, key=15, type=PLAYER(0)}
65={start:6, end=7, key=15, type=PLAYER(0)}
66={start:8, end=13, key=15, type=PLAYER(0)}
67={start:14, end=15, key=15, type=PLAYER(0)}
68={start:16, end=21, key=15, type=PLAYER(0)}
69={start:22, end=23, key=15, type=PLAYER(0)}
70={start:24, end=29, key=15, type=PLAYER(0)}
71={start:30, end=31, key=15, type=PLAYER(0)}
72={start:0, end=7, key=16, type=PLAYER(0)}
73={start:8, end=15, key=16, type=PLAYER(0)}
74={start:16, end=23, key=16, type=PLAYER(0)}
75={start:24, end=31, key=16, type=PLAYER(0)}
76={start:0, end=7, key=17, type=PLAYER(0)}
77={start:8, end=15, key=17, type=PLAYER(0)}
78={start:16, end=23, key=17, type=PLAYER(0)}
79={start:24, end=31, key=17, type=PLAYER(0)}
80={start:0, end=7, key=18, type=PLAYER(0)}
81={start:8, end=15, key=18, type=PLAYER(0)}
82={start:16, end=23, key=18, type=PLAYER(0)}
83={start:24, end=31, key=18, type=PLAYER(0)}
84={start:0, end=7, key=19, type=PLAYER(0)}
85={start:8, end=15, key=19, type=PLAYER(0)}
86={start:16, end=23, key=19, type=PLAYER(0)}
87={start:24, end=31, key=19, type=PLAYER(0)}
88={start:0, end=5, key=20, type=PLAYER(0)}
89={start:6, end=7, key=20, type=PLAYER(0)}
90={start:8, end=13, key=20, type=PLAYER(0)}
91={start:14, end=15, key=20, type=PLAYER(0)}
92={start:16, end=21, key=20, type=PLAYER(0)}
93={start:22, end=23, key=20, type=PLAYER(0)}
94={start:24, end=31, key=20, type=PLAYER(0)}
95={start:0, end=1, key=21, type=PLAYER(0)}
96={start:2, end=3, key=21, type=PLAYER(0)}
97={start:4, end=5, key=21, type=PLAYER(0)}
98={start:6, end=7, key=21, type=PLAYER(0)}
99={start:8, end=9, key=21, type=PLAYER(0)}
100={start:10, end=11, key=21, type=PLAYER(0)}
101={start:12, end=13, key=21, type=PLAYER(0)}
102={start:14, end=15, key=21, type=PLAYER(0)}
103={start:16, end=17, key=21, type=PLAYER(0)}
104={start:18, end=19, key=21, type=PLAYER(0)}
105={start:20, end=21, key=21, type=PLAYER(0)}
106={start:22, end=23, key=21, type=PLAYER(0)}
107={start:24, end=25, key=21, type=PLAYER(0)}
108={start:26, end=27, key=21, type=PLAYER(0)}
109={start:28, end=29, key=21, type=PLAYER(0)}
110={start:30, end=31, key=21, type=PLAYER(0)}
111={start:0, end=1, key=22, type=PLAYER(0)}
112={start:2, end=3, key=22, type=PLAYER(0)}
113={start:4, end=5, key=22, type=PLAYER(0)}
114={start:6, end=7, key=22, type=PLAYER(0)}
115={start:8, end=9, key=22, type=PLAYER(0)}
116={start:10, end=11, key=22, type=PLAYER(0)}
117={start:12, end=13, key=22, type=PLAYER(0)}
118={start:14, end=15, key=22, type=PLAYER(0)}
119={start:16, end=17, key=22, type=PLAYER(0)}
120={start:18, end=19, key=22, type=PLAYER(0)}
121={start:20, end=21, key=22, type=PLAYER(0)}
122={start:22, end=23, key=22, type=PLAYER(0)}
123={start:24, end=31, key=22, type=PLAYER(0)}
124={start:0, end=7, key=23, type=PLAYER(0)}
125={start:8, end=15, key=23, type=PLAYER(0)}
126={start:16, end=23, key=23, type=PLAYER(0)}
127={start:24, end=31, key=23, type=PLAYER(0)}
128={start:0, end=23, key=24, type=PLAYER(0)}
129={start:24, end=25, key=24, type=PLAYER(0)}
130={start:26, end=27, key=24, type=PLAYER(0)}
131={start:28, end=29, key=24, type=PLAYER(0)}
132={start:30, end=31, key=24, type=PLAYER(0)}
133={start:0, end=7, key=25, type=PLAYER(0)}
134={start:8, end=9, key=25, type=PLAYER(0)}
135={start:10, end=10, key=25, type=PLAYER(0)}
136={start:11, end=18, key=25, type=PLAYER(0)}
137={start:19, end=20, key=25, type=PLAYER(0)}
138={start:21, end=21, key=25, type=PLAYER(0)}
139={start:22, end=22, key=25, type=PLAYER(0)}
140={start:23, end=30, key=25, type=PLAYER(0)}
141={start:31, end=31, key=25, type=PLAYER(0)}
142={start:0, end=1, key=26, type=PLAYER(0)}
143={start:2, end=9, key=26, type=PLAYER(0)}
144={start:10, end=10, key=26, type=PLAYER(0)}
145={start:11, end=11, key=26, type=PLAYER(0)}
146={start:12, end=19, key=26, type=PLAYER(0)}
147={start:20, end=21, key=26, type=PLAYER(0)}
148={start:22, end=29, key=26, type=PLAYER(0)}
149={start:30, end=31, key=26, type=PLAYER(0)}
150={start:0, end=3, key=28, type=PLAYER(0)}
151={start:4, end=4, key=28, type=PLAYER(0)}
152={start:28, end=28, key=28, type=PLAYER(0)}
153={start:29, end=29, key=28, type=PLAYER(0)}
154={start:30, end=30, key=28, type=PLAYER(0)}
155={start:0, end=7, key=6, type=PLAYER(0)}
156={start:16, end=23, key=6, type=PLAYER(0)}
157={start:24, end=24, key=6, type=PLAYER(0)}
158={start:26, end=26, key=6, type=PLAYER(0)}
159={start:27, end=27, key=6, type=PLAYER(0)}
160={start:28, end=28, key=6, type=PLAYER(0)}
161={start:29, end=30, key=6, type=PLAYER(0)}
162={start:8, end=15, key=7, type=PLAYER(0)}
163={start:0, end=7, key=7, type=PLAYER(0)}
164={start:0, end=7, key=8, type=PLAYER(0)}
165={start:8, end=8, key=8, type=PLAYER(0)}
166={start:0, end=6, key=9, type=PLAYER(0)}
167={start:7, end=14, key=9, type=PLAYER(0)}
168={start:15, end=22, key=9, type=PLAYER(0)}
169={start:23, end=28, key=9, type=PLAYER(0)}
170={start:29, end=31, key=9, type=PLAYER(0)}
171={start:0, end=0, key=9, type=PLAYER(0)}
172={start:1, end=7, key=9, type=PLAYER(0)}
173={start:8, end=15, key=9, type=PLAYER(0)}
174={start:16, end=23, key=9, type=PLAYER(0)}
175={start:24, end=31, key=9, type=PLAYER(0)}
176={start:0, end=0, key=29, type=PLAYER(0)}
177={start:1, end=1, key=29, type=PLAYER(0)}
178={start:2, end=2, key=29, type=PLAYER(0)}
179={start:3, end=3, key=29, type=PLAYER(0)}
180={start:4, end=7, key=29, type=PLAYER(0)}
181={start:8, end=8, key=29, type=PLAYER(0)}
182={start:9, end=13, key=29, type=PLAYER(0)}
183={start:14, end=21, key=29, type=PLAYER(0)}
184={start:22, end=29, key=29, type=PLAYER(0)}
185={start:30, end=30, key=29, type=PLAYER(0)}
186={start:31, end=31, key=29, type=PLAYER(0)}
187={start:30, end=30, key=76, type=PLAYER(0)}
188={start:31, end=31, key=76, type=PLAYER(0)}
189={start:30, end=30, key=77, type=PLAYER(0)}
190={start:0, end=14, key=76, type=PLAYER(0)}
191={start:15, end=29, key=76, type=PLAYER(0)}
192={start:0, end=14, key=77, type=PLAYER(0)}
193={start:15, end=29, key=77, type=PLAYER(0)}
194={start:0, end=14, key=78, type=PLAYER(0)}
195={start:15, end=29, key=78, type=PLAYER(0)}
196={start:0, end=14, key=79, type=PLAYER(0)}
197={start:15, end=29, key=79, type=PLAYER(0)}
198={start:0, end=14, key=80, type=PLAYER(0)}
199={start:15, end=29, key=80, type=PLAYER(0)}
200={start:0, end=14, key=81, type=PLAYER(0)}
201={start:15, end=29, key=81, type=PLAYER(0)}
202={start:0, end=14, key=82, type=PLAYER(0)}
203={start:15, end=29, key=82, type=PLAYER(0)}
204={start:0, end=0, key=83, type=PLAYER(0)}
205={start:1, end=15, key=83, type=PLAYER(0)}
206={start:16, end=16, key=83, type=PLAYER(0)}
207={start:1, end=1, key=35, type=PLAYER(0)}
208={start:2, end=2, key=35, type=PLAYER(0)}
209={start:12, end=12, key=2851, type=PLAYER(0)}
210={start:15, end=15, key=2851, type=PLAYER(0)}
211={start:19, end=22, key=2851, type=PLAYER(0)}
212={start:23, end=24, key=2851, type=PLAYER(0)}
213={start:25, end=26, key=2851, type=PLAYER(0)}
214={start:27, end=27, key=2851, type=PLAYER(0)}
215={start:28, end=28, key=2851, type=PLAYER(0)}
216={start:29, end=29, key=2851, type=PLAYER(0)}
217={start:30, end=30, key=2851, type=PLAYER(0)}
218={start:23, end=23, key=86, type=PLAYER(0)}
219={start:24, end=24, key=86, type=PLAYER(0)}
220={start:25, end=25, key=86, type=PLAYER(0)}
221={start:26, end=26, key=86, type=PLAYER(0)}
222={start:27, end=27, key=86, type=PLAYER(0)}
223={start:0, end=0, key=89, type=PLAYER(0)}
224={start:1, end=31, key=89, type=PLAYER(0)}
225={start:0, end=4, key=94, type=PLAYER(0)}
226={start:5, end=9, key=94, type=PLAYER(0)}
227={start:10, end=14, key=94, type=PLAYER(0)}
228={start:15, end=15, key=94, type=PLAYER(0)}
229={start:16, end=16, key=94, type=PLAYER(0)}
230={start:17, end=17, key=94, type=PLAYER(0)}
231={start:18, end=18, key=94, type=PLAYER(0)}
232={start:19, end=19, key=94, type=PLAYER(0)}
233={start:20, end=24, key=94, type=PLAYER(0)}
234={start:0, end=1, key=99, type=PLAYER(0)}
235={start:2, end=3, key=99, type=PLAYER(0)}
236={start:4, end=5, key=99, type=PLAYER(0)}
237={start:6, end=7, key=99, type=PLAYER(0)}
238={start:8, end=9, key=99, type=PLAYER(0)}
239={start:10, end=11, key=99, type=PLAYER(0)}
240={start:12, end=13, key=99, type=PLAYER(0)}
241={start:14, end=15, key=99, type=PLAYER(0)}
242={start:16, end=17, key=99, type=PLAYER(0)}
243={start:18, end=19, key=99, type=PLAYER(0)}
244={start:20, end=21, key=99, type=PLAYER(0)}
245={start:22, end=23, key=99, type=PLAYER(0)}
246={start:24, end=25, key=99, type=PLAYER(0)}
247={start:26, end=27, key=99, type=PLAYER(0)}
248={start:28, end=29, key=99, type=PLAYER(0)}
249={start:30, end=31, key=99, type=PLAYER(0)}
250={start:0, end=1, key=100, type=PLAYER(0)}
251={start:2, end=3, key=100, type=PLAYER(0)}
252={start:4, end=5, key=100, type=PLAYER(0)}
253={start:6, end=7, key=100, type=PLAYER(0)}
254={start:8, end=9, key=100, type=PLAYER(0)}
255={start:10, end=11, key=100, type=PLAYER(0)}
256={start:12, end=13, key=100, type=PLAYER(0)}
257={start:14, end=15, key=100, type=PLAYER(0)}
258={start:16, end=17, key=100, type=PLAYER(0)}
259={start:18, end=19, key=100, type=PLAYER(0)}
260={start:20, end=21, key=100, type=PLAYER(0)}
261={start:22, end=23, key=100, type=PLAYER(0)}
262={start:24, end=25, key=100, type=PLAYER(0)}
263={start:26, end=27, key=100, type=PLAYER(0)}
264={start:0, end=7, key=104, type=PLAYER(0)}
265={start:8, end=15, key=104, type=PLAYER(0)}
266={start:16, end=23, key=104, type=PLAYER(0)}
267={start:24, end=31, key=104, type=PLAYER(0)}
268={start:0, end=7, key=105, type=PLAYER(0)}
269={start:8, end=15, key=105, type=PLAYER(0)}
270={start:16, end=23, key=105, type=PLAYER(0)}
271={start:24, end=31, key=105, type=PLAYER(0)}
272={start:0, end=7, key=106, type=PLAYER(0)}
273={start:8, end=15, key=106, type=PLAYER(0)}
274={start:16, end=23, key=106, type=PLAYER(0)}
275={start:24, end=31, key=106, type=PLAYER(0)}
276={start:0, end=7, key=107, type=PLAYER(0)}
277={start:8, end=15, key=107, type=PLAYER(0)}
278={start:16, end=23, key=107, type=PLAYER(0)}
279={start:24, end=31, key=107, type=PLAYER(0)}
280={start:0, end=9, key=108, type=PLAYER(0)}
281={start:10, end=19, key=108, type=PLAYER(0)}
282={start:20, end=29, key=108, type=PLAYER(0)}
283={start:0, end=9, key=109, type=PLAYER(0)}
284={start:10, end=19, key=109, type=PLAYER(0)}
285={start:20, end=29, key=109, type=PLAYER(0)}
286={start:0, end=9, key=110, type=PLAYER(0)}
287={start:10, end=19, key=110, type=PLAYER(0)}
288={start:27, end=30, key=110, type=PLAYER(0)}
289={start:31, end=31, key=110, type=PLAYER(0)}
290={start:1, end=1, key=114, type=PLAYER(0)}
291={start:2, end=2, key=114, type=PLAYER(0)}
292={start:3, end=3, key=114, type=PLAYER(0)}
293={start:4, end=4, key=114, type=PLAYER(0)}
294={start:5, end=5, key=114, type=PLAYER(0)}
295={start:6, end=6, key=114, type=PLAYER(0)}
296={start:7, end=7, key=114, type=PLAYER(0)}
297={start:8, end=8, key=114, type=PLAYER(0)}
298={start:9, end=9, key=114, type=PLAYER(0)}
299={start:10, end=10, key=114, type=PLAYER(0)}
300={start:11, end=11, key=114, type=PLAYER(0)}
301={start:12, end=12, key=114, type=PLAYER(0)}
302={start:13, end=13, key=114, type=PLAYER(0)}
303={start:14, end=15, key=114, type=PLAYER(0)}
304={start:16, end=16, key=114, type=PLAYER(0)}
305={start:17, end=17, key=114, type=PLAYER(0)}
306={start:18, end=18, key=114, type=PLAYER(0)}
307={start:19, end=19, key=114, type=PLAYER(0)}
308={start:20, end=20, key=114, type=PLAYER(0)}
309={start:21, end=21, key=114, type=PLAYER(0)}
310={start:22, end=22, key=114, type=PLAYER(0)}
311={start:23, end=23, key=114, type=PLAYER(0)}
312={start:24, end=24, key=114, type=PLAYER(0)}
313={start:25, end=25, key=114, type=PLAYER(0)}
314={start:0, end=4, key=115, type=PLAYER(0)}
315={start:5, end=8, key=115, type=PLAYER(0)}
316={start:9, end=9, key=115, type=PLAYER(0)}
317={start:10, end=10, key=115, type=PLAYER(0)}
318={start:11, end=11, key=115, type=PLAYER(0)}
319={start:0, end=3, key=116, type=PLAYER(0)}
320={start:4, end=13, key=116, type=PLAYER(0)}
321={start:14, end=16, key=116, type=PLAYER(0)}
322={start:7, end=8, key=3166, type=PLAYER(0)}
323={start:9, end=10, key=3166, type=PLAYER(0)}
324={start:11, end=26, key=3166, type=PLAYER(0)}
325={start:0, end=0, key=123, type=PLAYER(0)}
326={start:1, end=6, key=123, type=PLAYER(0)}
327={start:7, end=7, key=123, type=PLAYER(0)}
328={start:8, end=8, key=123, type=PLAYER(0)}
329={start:9, end=9, key=123, type=PLAYER(0)}
330={start:10, end=10, key=123, type=PLAYER(0)}
331={start:11, end=11, key=123, type=PLAYER(0)}
332={start:12, end=12, key=123, type=PLAYER(0)}
333={start:13, end=13, key=123, type=PLAYER(0)}
334={start:14, end=14, key=123, type=PLAYER(0)}
335={start:15, end=15, key=123, type=PLAYER(0)}
336={start:16, end=16, key=123, type=PLAYER(0)}
337={start:17, end=17, key=123, type=PLAYER(0)}
338={start:18, end=18, key=123, type=PLAYER(0)}
339={start:19, end=26, key=123, type=PLAYER(0)}
340={start:27, end=29, key=123, type=PLAYER(0)}
341={start:0, end=2, key=124, type=PLAYER(0)}
342={start:3, end=5, key=124, type=PLAYER(0)}
343={start:6, end=8, key=124, type=PLAYER(0)}
344={start:9, end=11, key=124, type=PLAYER(0)}
345={start:12, end=14, key=124, type=PLAYER(0)}
346={start:15, end=17, key=124, type=PLAYER(0)}
347={start:18, end=20, key=124, type=PLAYER(0)}
348={start:21, end=24, key=124, type=PLAYER(0)}
349={start:25, end=27, key=124, type=PLAYER(0)}
350={start:28, end=30, key=124, type=PLAYER(0)}
351={start:0, end=2, key=125, type=PLAYER(0)}
352={start:3, end=5, key=125, type=PLAYER(0)}
353={start:6, end=8, key=125, type=PLAYER(0)}
354={start:9, end=11, key=125, type=PLAYER(0)}
355={start:12, end=14, key=125, type=PLAYER(0)}
356={start:15, end=18, key=125, type=PLAYER(0)}
357={start:30, end=30, key=123, type=PLAYER(0)}
358={start:31, end=31, key=123, type=PLAYER(0)}
359={start:31, end=31, key=124, type=PLAYER(0)}
360={start:19, end=19, key=125, type=PLAYER(0)}
361={start:20, end=31, key=125, type=PLAYER(0)}
362={start:0, end=16, key=126, type=PLAYER(0)}
363={start:17, end=28, key=126, type=PLAYER(0)}
364={start:29, end=29, key=126, type=PLAYER(0)}
365={start:30, end=31, key=126, type=PLAYER(0)}
366={start:0, end=11, key=127, type=PLAYER(0)}
367={start:12, end=24, key=127, type=PLAYER(0)}
368={start:25, end=29, key=127, type=PLAYER(0)}
369={start:0, end=12, key=128, type=PLAYER(0)}
370={start:13, end=16, key=128, type=PLAYER(0)}
371={start:17, end=19, key=128, type=PLAYER(0)}
372={start:20, end=22, key=128, type=PLAYER(0)}
373={start:23, end=23, key=128, type=PLAYER(0)}
374={start:24, end=24, key=128, type=PLAYER(0)}
375={start:25, end=25, key=128, type=PLAYER(0)}
376={start:26, end=26, key=128, type=PLAYER(0)}
377={start:27, end=27, key=128, type=PLAYER(0)}
378={start:0, end=1, key=129, type=PLAYER(0)}
379={start:2, end=2, key=129, type=PLAYER(0)}
380={start:3, end=4, key=129, type=PLAYER(0)}
381={start:5, end=9, key=129, type=PLAYER(0)}
382={start:10, end=10, key=129, type=PLAYER(0)}
383={start:11, end=11, key=129, type=PLAYER(0)}
384={start:12, end=12, key=129, type=PLAYER(0)}
385={start:13, end=13, key=129, type=PLAYER(0)}
386={start:14, end=14, key=129, type=PLAYER(0)}
387={start:15, end=15, key=129, type=PLAYER(0)}
388={start:16, end=16, key=129, type=PLAYER(0)}
389={start:0, end=2, key=130, type=PLAYER(0)}
390={start:3, end=5, key=130, type=PLAYER(0)}
391={start:6, end=8, key=130, type=PLAYER(0)}
392={start:9, end=11, key=130, type=PLAYER(0)}
393={start:12, end=14, key=130, type=PLAYER(0)}
394={start:15, end=17, key=130, type=PLAYER(0)}
395={start:18, end=20, key=130, type=PLAYER(0)}
396={start:21, end=24, key=130, type=PLAYER(0)}
397={start:25, end=27, key=130, type=PLAYER(0)}
398={start:28, end=30, key=130, type=PLAYER(0)}
399={start:0, end=2, key=131, type=PLAYER(0)}
400={start:3, end=5, key=131, type=PLAYER(0)}
401={start:6, end=8, key=131, type=PLAYER(0)}
402={start:9, end=11, key=131, type=PLAYER(0)}
403={start:12, end=14, key=131, type=PLAYER(0)}
404={start:15, end=18, key=131, type=PLAYER(0)}
405={start:19, end=19, key=131, type=PLAYER(0)}
406={start:20, end=23, key=131, type=PLAYER(0)}
407={start:24, end=25, key=131, type=PLAYER(0)}
408={start:26, end=26, key=131, type=PLAYER(0)}
409={start:27, end=29, key=131, type=PLAYER(0)}
410={start:17, end=20, key=129, type=PLAYER(0)}
411={start:21, end=21, key=129, type=PLAYER(0)}
412={start:0, end=0, key=132, type=PLAYER(0)}
413={start:1, end=1, key=132, type=PLAYER(0)}
414={start:2, end=2, key=132, type=PLAYER(0)}
415={start:3, end=3, key=132, type=PLAYER(0)}
416={start:4, end=4, key=132, type=PLAYER(0)}
417={start:5, end=5, key=132, type=PLAYER(0)}
418={start:6, end=6, key=132, type=PLAYER(0)}
419={start:7, end=7, key=132, type=PLAYER(0)}
420={start:8, end=8, key=132, type=PLAYER(0)}
421={start:9, end=9, key=132, type=PLAYER(0)}
422={start:10, end=10, key=132, type=PLAYER(0)}
423={start:11, end=11, key=132, type=PLAYER(0)}
424={start:12, end=12, key=132, type=PLAYER(0)}
425={start:13, end=13, key=132, type=PLAYER(0)}
426={start:14, end=14, key=132, type=PLAYER(0)}
427={start:15, end=15, key=132, type=PLAYER(0)}
428={start:16, end=17, key=132, type=PLAYER(0)}
429={start:0, end=8, key=121, type=PLAYER(0)}
430={start:9, end=17, key=121, type=PLAYER(0)}
431={start:18, end=26, key=121, type=PLAYER(0)}
432={start:27, end=27, key=121, type=PLAYER(0)}
433={start:0, end=1, key=144, type=PLAYER(0)}
434={start:2, end=2, key=144, type=PLAYER(0)}
435={start:8, end=8, key=144, type=PLAYER(0)}
436={start:9, end=10, key=144, type=PLAYER(0)}
437={start:11, end=14, key=144, type=PLAYER(0)}
438={start:15, end=15, key=144, type=PLAYER(0)}
439={start:3, end=3, key=144, type=PLAYER(0)}
440={start:4, end=4, key=144, type=PLAYER(0)}
441={start:5, end=5, key=144, type=PLAYER(0)}
442={start:6, end=6, key=144, type=PLAYER(0)}
443={start:7, end=7, key=144, type=PLAYER(0)}
444={start:0, end=0, key=162, type=PLAYER(0)}
445={start:1, end=14, key=162, type=PLAYER(0)}
446={start:0, end=2, key=163, type=PLAYER(0)}
447={start:0, end=13, key=164, type=PLAYER(0)}
448={start:14, end=27, key=164, type=PLAYER(0)}
449={start:28, end=29, key=164, type=PLAYER(0)}
450={start:30, end=30, key=164, type=PLAYER(0)}
451={start:0, end=3, key=168, type=PLAYER(0)}
452={start:4, end=7, key=168, type=PLAYER(0)}
453={start:8, end=11, key=168, type=PLAYER(0)}
454={start:12, end=15, key=168, type=PLAYER(0)}
455={start:16, end=19, key=168, type=PLAYER(0)}
456={start:20, end=23, key=168, type=PLAYER(0)}
457={start:24, end=30, key=168, type=PLAYER(0)}
458={start:31, end=31, key=168, type=PLAYER(0)}
459={start:0, end=5, key=169, type=PLAYER(0)}
460={start:6, end=11, key=169, type=PLAYER(0)}
461={start:12, end=18, key=169, type=PLAYER(0)}
462={start:19, end=24, key=169, type=PLAYER(0)}
463={start:25, end=30, key=169, type=PLAYER(0)}
464={start:31, end=31, key=169, type=PLAYER(0)}
465={start:0, end=5, key=170, type=PLAYER(0)}
466={start:6, end=9, key=170, type=PLAYER(0)}
467={start:10, end=13, key=170, type=PLAYER(0)}
468={start:14, end=17, key=170, type=PLAYER(0)}
469={start:18, end=21, key=170, type=PLAYER(0)}
470={start:22, end=25, key=170, type=PLAYER(0)}
471={start:26, end=29, key=170, type=PLAYER(0)}
472={start:30, end=30, key=170, type=PLAYER(0)}
473={start:0, end=4, key=171, type=PLAYER(0)}
474={start:5, end=5, key=171, type=PLAYER(0)}
475={start:6, end=8, key=171, type=PLAYER(0)}
476={start:0, end=0, key=172, type=PLAYER(0)}
477={start:1, end=1, key=172, type=PLAYER(0)}
478={start:2, end=7, key=172, type=PLAYER(0)}
479={start:8, end=12, key=172, type=PLAYER(0)}
480={start:13, end=17, key=172, type=PLAYER(0)}
481={start:23, end=24, key=172, type=PLAYER(0)}
482={start:25, end=27, key=172, type=PLAYER(0)}
483={start:15, end=17, key=173, type=PLAYER(0)}
484={start:18, end=22, key=173, type=PLAYER(0)}
485={start:0, end=0, key=172, type=PLAYER(0)}
486={start:1, end=4, key=172, type=PLAYER(0)}
487={start:5, end=5, key=172, type=PLAYER(0)}
488={start:0, end=5, key=172, type=PLAYER(0)}
489={start:6, end=11, key=172, type=PLAYER(0)}
490={start:12, end=17, key=172, type=PLAYER(0)}
491={start:18, end=23, key=172, type=PLAYER(0)}
492={start:24, end=29, key=172, type=PLAYER(0)}
493={start:0, end=5, key=173, type=PLAYER(0)}
494={start:6, end=11, key=173, type=PLAYER(0)}
495={start:0, end=0, key=174, type=PLAYER(0)}
496={start:0, end=0, key=175, type=PLAYER(0)}
497={start:0, end=4, key=1299, type=PLAYER(0)}
498={start:5, end=9, key=1299, type=PLAYER(0)}
499={start:10, end=14, key=1299, type=PLAYER(0)}
500={start:15, end=19, key=1299, type=PLAYER(0)}
501={start:0, end=0, key=184, type=PLAYER(0)}
502={start:0, end=0, key=53, type=NPC(1)}
503={start:1, end=1, key=53, type=NPC(1)}
504={start:0, end=9, key=179, type=PLAYER(0)}
505={start:10, end=12, key=179, type=PLAYER(0)}
506={start:13, end=15, key=179, type=PLAYER(0)}
507={start:0, end=30, key=0, type=OBJECT(5)}
508={start:0, end=0, key=180, type=PLAYER(0)}
509={start:1, end=13, key=180, type=PLAYER(0)}
510={start:14, end=26, key=180, type=PLAYER(0)}
511={start:0, end=12, key=181, type=PLAYER(0)}
512={start:13, end=25, key=181, type=PLAYER(0)}
513={start:27, end=31, key=180, type=PLAYER(0)}
514={start:26, end=31, key=181, type=PLAYER(0)}
515={start:0, end=2, key=53, type=NPC(1)}
516={start:0, end=8, key=189, type=PLAYER(0)}
517={start:9, end=17, key=189, type=PLAYER(0)}
518={start:18, end=18, key=189, type=PLAYER(0)}
519={start:19, end=19, key=189, type=PLAYER(0)}
520={start:20, end=29, key=189, type=PLAYER(0)}
521={start:9, end=17, key=2170, type=PLAYER(0)}
522={start:0, end=0, key=53, type=NPC(1)}
523={start:1, end=1, key=53, type=NPC(1)}
524={start:0, end=3, key=190, type=PLAYER(0)}
525={start:4, end=6, key=190, type=PLAYER(0)}
526={start:7, end=13, key=190, type=PLAYER(0)}
527={start:14, end=17, key=190, type=PLAYER(0)}
528={start:18, end=19, key=190, type=PLAYER(0)}
529={start:20, end=21, key=190, type=PLAYER(0)}
530={start:22, end=23, key=190, type=PLAYER(0)}
531={start:24, end=28, key=190, type=PLAYER(0)}
532={start:0, end=4, key=191, type=PLAYER(0)}
533={start:5, end=8, key=191, type=PLAYER(0)}
534={start:9, end=12, key=191, type=PLAYER(0)}
535={start:13, end=15, key=191, type=PLAYER(0)}
536={start:16, end=18, key=191, type=PLAYER(0)}
